UniqueID,Variable,Component,EMS_Code,CAS_ number,Use,Media,Type,Days,Samples,Statistic,NarrativeWQG,MethodNotes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
1,"1,1,2-Trichloroethene (Trichloroethylene)",Total,EMS_T029,(79-01-6),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
2,"1,1,2-Trichloroethene (Trichloroethylene)",Total,EMS_T029,(79-01-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,21,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
3,"1,1,2,2-Tetrachloroethene (Tetrachloroethylene, Perchlorethylene)",Total,EMS_T030,(127-18-4),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,110,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
4,"1,2-Dichlorobenzene",Total,EMS_B022,(95-50-1),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.7,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
5,"1,2-Dichlorobenzene",Total,EMS_B022,(95-50-1),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0231,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
6,"1,2-Dichlorobenzene",Total,EMS_B022,(95-50-1),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,42,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
7,"1,2-Dichloroethane",Total,EMS_C022,(95-50-1),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
8,"1,2-Dichloroethane",Total,EMS_C022,(95-50-1),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,100,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
9,"1,2-Propylene glycol",Total,EMS_P020,(57-55-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,500,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
10,"1,2,3-Trichlorobenzene",Total,EMS_T065,(87-61-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
11,"1,2,3,4-Tetrachlorobenzene",Total,EMS_TCB5,(634-66-2),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
12,"1,2,4-Trichlorobenzene",Total,EMS_T066,(120-82-1),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,24,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
13,"1,2,4-Trichlorobenzene",Total,EMS_T066,(120-82-1),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00811,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
14,"1,2,4-Trichlorobenzene",Total,EMS_T066,(120-82-1),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.0181,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
